tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,10,0.25,1.0081173752594588,0.008117375259458645,0.008117375259458645,0.007868074086895493,0.0,0.16953625603946199,0.830463743960538,1.0,0.830463743960538,1.0,1.660927487921076,0.014371271055939024,0.034610231115933955,0.015837829967495054,,nan,nan,nan,nan,nan,nan,nan,10,10,10,10,10,10,10,20,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,11,0.25,1.0049028461472282,0.0049028461472282875,0.0049028461472282875,0.004786401782529426,0.0,0.13358125025405732,0.8664187497459427,1.0,0.8664187497459427,1.0,1.7328374994918854,0.008921975209718543,0.020595064943677008,0.016252829984296113,,nan,nan,nan,nan,nan,nan,nan,11,11,11,11,11,11,11,22,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,12,0.25,1.002916631729029,0.0029166317290290136,0.0029166317290290136,0.002863415454627427,0.0,0.10415836652694155,0.8958416334730585,1.0,0.8958416334730585,1.0,1.791683266946117,0.005424482658780337,0.01211036070683682,0.016634300001896918,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,12,12,24,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,13,0.25,1.0017136964715005,0.0017136964715006586,0.0017136964715006586,0.0016898039196553416,0.0,0.08052464541026294,0.9194753545897371,1.0,0.9194753545897371,1.0,1.8389507091794743,0.0032421092592242904,0.007052085176705761,0.01704233995405957,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,13,13,26,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,14,0.25,1.0009969549245852,0.0009969549245851944,0.0009969549245851944,0.0009863791173743142,0.0,0.061826967151528245,0.9381730328484718,1.0,0.9381730328484718,1.0,1.8763460656969433,0.0019112869335780693,0.004074487043770715,0.01744201994733885,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,14,14,28,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,15,0.25,1.0005754579491892,0.0005754579491893119,0.0005754579491893119,0.0005708288138823736,0.0,0.04721321931443778,0.9527867806855622,1.0,0.9527867806855622,1.0,1.9055735613711244,0.0011145440390166056,0.0023395455554382156,0.0178118699695915,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,15,15,30,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,16,0.25,1.0003301379785305,0.00033013797853054944,0.00033013797853054944,0.0003281293826475906,0.0,0.0359005544271459,0.9640994455728541,1.0,0.9640994455728541,1.0,1.9281988911457082,0.0006444249040882327,0.001336843220992275,0.018245489976834506,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,16,16,32,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,17,0.25,1.000188505270983,0.00018850527098285622,0.00018850527098285622,0.00018763959881362702,0.0,0.027208681235454835,0.9727913187645452,1.0,0.9727913187645452,1.0,1.9455826375290903,0.00037015616728629903,0.0007610186483908937,0.01863347995094955,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,17,17,34,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,18,0.25,1.0001072444338153,0.00010724443381520017,0.00010724443381520017,0.00010687327090530552,0.0,0.020569032600926462,0.9794309673990735,1.0,0.9794309673990735,1.0,1.9588619347981473,0.0002115425510689901,0.00043197031360106943,0.019020529987756163,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,18,18,36,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,19,0.25,1.0000608446374926,6.084463749265502e-05,6.084463749265502e-05,6.068612674181573e-05,0.0,0.015519574043340145,0.9844804259566599,1.0,0.9844804259566599,1.0,1.9689608519133197,0.00012042858924336032,0.0002446541059997963,0.01939611998386681,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,19,19,38,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,20,0.25,1.0000344472736362,3.444727363618224e-05,3.444727363618224e-05,3.4379782297033756e-05,0.0,0.011692475260218105,0.9883075247397819,1.0,0.9883075247397819,1.0,1.9766150494795638,6.835698885540622e-05,0.00013833141435082045,0.01975693996064365,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,20,20,40,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,21,0.25,1.0000194712639539,1.947126395381634e-05,1.947126395381634e-05,1.9442592551710547e-05,0.0,0.008799308464528366,0.9912006915354716,1.0,0.9912006915354716,1.0,1.9824013830709435,3.8713914726960274e-05,7.811518909856663e-05,0.020132999983616173,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,21,21,42,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,22,0.25,1.0000109928294192,1.0992829419251195e-05,1.0992829419251195e-05,1.098067027838212e-05,0.0,0.006616438217465381,0.9933835617825346,1.0,0.9933835617825346,1.0,1.986767123565069,2.1888627342768236e-05,4.406883339903534e-05,0.020493029966019094,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,22,22,44,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,23,0.25,1.000006200541222,6.2005412219609535e-06,6.2005412219609535e-06,6.1953913852441644e-06,0.0,0.004971913239493642,0.9950280867605064,1.0,0.9950280867605064,1.0,1.9900561735210127,1.2359960630526079e-05,2.4843440692745994e-05,0.020859679963905364,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,23,23,46,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,24,0.25,1.0000034950387255,3.4950387254337276e-06,3.4950387254337276e-06,3.4928597132388717e-06,0.0,0.0037343459346131924,0.9962656540653868,1.0,0.9962656540653868,1.0,1.9925313081307736,6.972669779681039e-06,1.3997611482899265e-05,0.02123155997833237,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,24,24,48,0,0,0,1,False,False,0.25,0,nan,nan,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
