tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,19,0.25,1.0000000006721306,6.72130649382219e-10,6.72130649382219e-10,6.721248002605762e-10,0.0,5.1850069081371686e-05,0.9999481499309186,1.0,0.9999481499309186,1.0,1.344214831871508e-09,2.6885690662199816e-09,0.006386100023519248,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,0,19,19,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,20,0.25,1.0000000002419647,2.419646917961452e-10,2.419646917961452e-10,2.4196333825443617e-10,0.0,3.111010597334207e-05,0.9999688898940267,1.0,0.9999688898940267,1.0,4.839193468328331e-10,9.678688041655467e-10,0.006673220021184534,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,0,20,20,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,21,0.25,1.0000000000871068,8.710678318850731e-11,8.710678318850731e-11,8.710654419985531e-11,0.0,1.866608681266868e-05,0.9999813339131873,1.0,0.9999813339131873,1.0,1.7421139844904182e-10,3.484293007090881e-10,0.006970160000491887,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,0,21,21,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,22,0.25,1.0000000000313582,3.1358332683661754e-11,3.1358332683661754e-11,3.1358249330537546e-11,0.0,1.1199660449934257e-05,0.9999888003395501,1.0,0.9999888003395501,1.0,6.27161970969108e-11,1.2543379901171678e-10,0.0072542999987490475,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,0,22,22,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,23,0.25,1.000000000011289,1.1288976165103697e-11,1.1288976165103697e-11,1.1288969758993517e-11,0.0,6.71979928035249e-06,0.9999932802007196,1.0,0.9999932802007196,1.0,2.257785118411292e-11,4.515600580581741e-11,0.007535150041803718,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,23,23,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FB--GVI,2819508885,24,0.25,1.000000000004064,4.064026321467894e-12,4.064026321467894e-12,4.064082403942848e-12,0.0,4.031880651789166e-06,0.9999959681193482,1.0,0.9999959681193482,1.0,8.128030795583543e-12,1.625612713466906e-11,0.007823690015356988,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,24,24,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fb-gvi_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,0,0.0,1.3181471805599454,0.3181471805599453,0.3181471805599453,0.25,0.0,0.75,0.25,1.0,0.25,1.0,0.28125,2.25,0.0004094199975952506,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,1,0.25,1.2589465393404697,0.2589465393404695,0.2589465393404695,0.209465357965543,0.0,0.7058823529411764,0.29411764705882354,0.9999999999999999,0.29411764705882354,0.9999999999999999,0.24913494809688586,1.6941176470588242,0.001110419980250299,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,2,0.25,1.2070246848524242,0.2070246848524241,0.2070246848524241,0.1720542814633521,0.0,0.6575342465753425,0.34246575342465746,0.9999999999999996,0.34246575342465746,0.9999999999999996,0.21617564270970174,1.2624657534246584,0.0015282799722626805,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,3,0.25,1.162454901568247,0.16245490156824688,0.16245490156824688,0.13842086830319356,0.0,0.6056782334384859,0.3943217665615141,0.9999999999999996,0.3943217665615141,0.9999999999999996,0.18342306123058258,0.9303217665615156,0.0019084499799646437,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,4,0.25,1.125067627563698,0.125067627563698,0.125067627563698,0.1090123756983834,0.0,0.5513280689160089,0.44867193108399106,0.9999999999999996,0.44867193108399106,0.9999999999999996,0.15198131978732776,0.677471931083993,0.0022645199787802994,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,5,0.25,1.0944536417496837,0.0944536417496839,0.0944536417496839,0.08402802707039725,0.0,0.4957237372922385,0.5042762627077615,0.9999999999999996,0.5042762627077615,0.9999999999999996,0.12287101185749215,0.4873162627077625,0.0026365299709141254,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,6,0.25,1.0699976748653075,0.06999767486530756,0.06999767486530756,0.06341273927011404,0.0,0.44022498477411987,0.5597750152258801,0.9999999999999996,0.5597750152258801,0.9999999999999996,0.09689901860968704,0.3462070152258808,0.0029882199596613646,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,7,0.25,1.0509371922789137,0.050937192278913634,0.050937192278913634,0.04688705447013586,0.0,0.3861813210556505,0.6138186789443495,0.9999999999999996,0.6138186789443495,0.9999999999999996,0.07456800636614375,0.2429642789443501,0.003336280002258718,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,8,0.25,1.0364347907406088,0.03643479074060893,0.03643479074060893,0.03400504048449804,0.0,0.3348040726594045,0.6651959273405955,0.9999999999999996,0.6651959273405955,0.9999999999999996,0.0560468835346619,0.16851240734059564,0.0036976899718865752,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,9,0.25,1.0256500920272673,0.02565009202726723,0.02565009202726723,0.0242255054798739,0.0,0.2870653904992667,0.7129346095007333,0.9999999999999996,0.7129346095007333,0.9999999999999996,0.04120326921124824,0.11558779350073294,0.004043889988679439,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,10,0.25,1.017798987120466,0.017798987120466042,0.017798987120466042,0.016980869508777197,0.0,0.24364046122819194,0.7563595387718081,0.9999999999999996,0.7563595387718081,0.9999999999999996,0.02968033717374305,0.07848208597180803,0.004393719951622188,,nan,nan,nan,nan,nan,nan,nan,10,10,10,10,10,0,0,0,20,20,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,11,0.25,1.0121932535114293,0.012193253511429289,0.012193253511429289,0.011731984723851507,0.0,0.2048965888656138,0.7951034111343862,0.9999999999999996,0.7951034111343862,0.9999999999999996,0.020991306064382164,0.052801448894386066,0.00474826997378841,,nan,nan,nan,nan,nan,nan,nan,11,11,11,11,11,0,0,0,22,22,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,12,0.25,1.0082594698516063,0.008259469851606305,0.008259469851606305,0.008003544527432682,0.0,0.17092151830539226,0.8290784816946077,0.9999999999999996,0.8290784816946077,0.9999999999999996,0.01460708270991029,0.035236911902607616,0.005091269966214895,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,0,0,0,24,24,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,13,0.25,1.005540640659559,0.005540640659559018,0.005540640659559018,0.005400597927555317,0.0,0.14157692317761883,0.8584230768223812,0.9999999999999996,0.8584230768223812,0.9999999999999996,0.010022012588220676,0.023349820988781193,0.005448219948448241,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,0,0,0,26,26,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,14,0.25,1.003686085033412,0.0036860850334119663,0.0036860850334119663,0.0036103507206743934,0.0,0.11656203746686988,0.8834379625331301,0.9999999999999996,0.8834379625331301,0.9999999999999996,0.006793354289213976,0.015379357866250234,0.0057980199926532805,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,0,0,0,28,28,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,15,0.25,1.0024351881205122,0.0024351881205121606,0.0024351881205121606,0.002394635533122358,0.0,0.0954753911987094,0.9045246088012906,0.9999999999999996,0.9045246088012906,0.9999999999999996,0.004557775162273298,0.010077725067786565,0.0061412599752657115,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,0,0,0,30,30,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,16,0.25,1.0015994152540186,0.0015994152540185769,0.0015994152540185769,0.0015778799063901339,0.0,0.0778671931035898,0.9221328068964102,0.9999999999999996,0.9221328068964102,0.9999999999999996,0.003031649880915872,0.0065752999096071576,0.006497329974081367,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,0,0,0,32,32,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,17,0.25,1.001045407701646,0.0010454077016458993,0.0010454077016458993,0.001034049468791487,0.0,0.06327922968229549,0.9367207703177045,0.9999999999999996,0.9367207703177045,0.9999999999999996,0.0020021304545923603,0.0042747647282622096,0.006846920005045831,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,0,0,0,34,34,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,18,0.25,1.0006805769799023,0.0006805769799023351,0.0006805769799023351,0.0006746200488856324,0.0,0.0512722777944139,0.9487277222055861,0.9999999999999996,0.9487277222055861,0.9999999999999996,0.0013144232351137801,0.0027709177340323383,0.0071888300008140504,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,0,0,0,36,36,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,19,0.25,1.0004416207531144,0.00044162075311446683,0.00044162075311446683,0.00043851095851898947,0.0,0.041442795540638566,0.9585572044593614,0.9999999999999996,0.9585572044593614,0.9999999999999996,0.0008587526511115859,0.001791760882118533,0.007548719993792474,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,0,0,0,38,38,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,20,0.25,1.0002858014078468,0.0002858014078467759,0.0002858014078467759,0.00028418403951557814,0.0,0.033431334020604275,0.9665686659793957,0.9999999999999996,0.9665686659793957,0.9999999999999996,0.0005588270471986064,0.0011563111176014801,0.00788538996130228,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,0,0,0,40,40,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,21,0.25,1.0001845606097541,0.0001845606097540982,0.0001845606097540982,0.00018372199774230324,0.0,0.02692509558931999,0.97307490441068,0.9999999999999996,0.97307490441068,0.9999999999999996,0.00036248038624700946,0.0007450205212445358,0.008222169999498874,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,0,0,0,42,42,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,22,0.25,1.0001189740033438,0.00011897400334374107,0.00011897400334374107,0.00011854025247348687,0.0,0.021656698205321456,0.9783433017946785,0.9999999999999996,0.9783433017946785,0.9999999999999996,0.00023450628857818679,0.00047939468313016513,0.008569909958168864,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,0,0,0,44,44,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,23,0.25,1.0000765860610372,7.658606103715278e-05,7.658606103715278e-05,7.636216159156994e-05,0.0,0.01740072702299522,0.9825992729770048,0.9999999999999996,0.9825992729770048,0.9999999999999996,0.0001513926504644,0.0003081472877660857,0.00890488998265937,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,0,0,46,46,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--KL,2819508885,24,0.25,1.000049243747307,4.924374730699236e-05,4.924374730699236e-05,4.912835762560519e-05,0.0,0.013969196453238797,0.9860308035467612,0.9999999999999996,0.9860308035467612,0.9999999999999996,9.756922477458969e-05,0.00019790299537019498,0.00924128998303786,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,0,0,48,48,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-kl_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,0,0.0,1.3181471805599454,0.3181471805599453,0.3181471805599453,0.25,0.0,0.75,0.25,1.0,0.25,1.0,0.28125,2.25,0.0004050400457344949,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,1,0.25,1.2501759617375678,0.25017596173756784,0.25017596173756784,0.20327242204741935,0.0,0.6984424376447549,0.30155756235524517,1.0,0.30155756235524517,1.0,0.24391091935157366,1.6176740350768468,0.0010291000362485647,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,2,0.25,1.1916366018375437,0.19163660183754372,0.19163660183754372,0.16060799284173877,0.0,0.6409105480336146,0.3590894519663855,1.0,0.3590894519663855,1.0,0.205383165290374,1.1439108788391819,0.001390960009302944,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,3,0.25,1.1427237131714378,0.14272371317143795,0.14272371317143795,0.12304406721163419,0.0,0.5785086883574225,0.42149131164257747,1.0,0.42149131164257747,1.0,0.16733615125251264,0.794019457247616,0.0017213300452567637,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,4,0.25,1.103203973445046,0.1032039734450459,0.1032039734450459,0.09125809273046603,0.0,0.5129209957208509,0.48707900427914913,1.0,0.48707900427914913,1.0,0.13154397392563458,0.5401340348074033,0.002039840037468821,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
smoke,F,F_gaussian_local_smoke,FR--R,2819508885,5,0.25,1.0724086384899425,0.0724086384899425,0.0724086384899425,0.06547319587253186,0.0,0.4462814167008451,0.5537185832991549,1.0,0.5537185832991549,1.0,0.09958355144625672,0.3596901185902776,0.0023900700034573674,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.25,results/raw/smoke/F/F_gaussian_local_smoke/fr-r_seed0.csv
